,Unnamed: 0,REVIEW ID,SOURCE,REVIEW BY,REVIEW DATE,REVIEW MONTH,REVIEW YEAR,REVIEW SUBJECT,text,REVIEW RATING,REVIEW TYPE,text_translated,topic_LDA,topic_NMF
0,0,2846,Facebook,Mathi Maddy,7/12/2015,July,2015,,!!!!!!!!!!!!!!!Awesome! !!!!!!!!!!!!!! I ever seen Krishna temple lik this!!,5,POSITIVE,awesome krishna temple lik,2,0
1,1,3806,Google + HK HILL,Vinayak H.p,12/8/2016,December,2016,,""" Wow ! What a beautiful place "" Iscon temple has a good ambiance. The temple is located on the top of a hill which g...",5,POSITIVE,wow beautiful place iscon temple ambiance temple located top hill g,3,0
2,2,3881,Trip Advisor,ganeshkamath,12/19/2016,December,2016,Visit to Abode of Almighty,"""A must visit"" place for all those who live in Bangalore and for those who visit this city. This is the Abode of the Almighty of this Universe. Spic and span everywhere.",5,POSITIVE,visit place live bangalore visit city abode almighty universe spic span,2,4
3,3,4043,Facebook,Vishwa Rastapur,1/10/2017,January,2017,,"""Hare Rama Hare Rama Rama Rama Hare Hare, Hare Krishna Hare Krishna Krishna Krishna HareHare"" _ Jai Shree Radhe Krishna",5,POSITIVE,hare rama hare rama rama rama hare hare hare krishna hare krishna krishna krishna hare hare _ jai shree radhe krishna,4,1
4,4,3954,Facebook,Shruthi Sukruti,1/2/2017,January,2017,,"""Management system is nice.., each time we visit our temple .,We enjoy bhajans and kirtans very much........ Lord's and radharani's idols, ornaments and decoration are very much attractive and beautiful....But Luxury things and materials are costly and less attractive... ... what we expect from you is .,keep up the same spirit for few more decades and so on.........Radhey radhey",5,POSITIVE,management system nice time visit temple enjoy bhajans kirtans lord radharanis idol ornament decoration attractive beautifulbut luxury thing material costly attractive expect spirit decade onradhey radhey,0,3
5,5,4118,Facebook,Arvind Seervi,1/18/2017,January,2017,,"""Management system is nice.., each time we visit our temple .,We enjoy bhajans and kirtans very much........ Lord's and radharani's idols, ornaments and decoration are very much attractive and beautiful....But Luxury things and materials are costly and less attractive... ... what we expect from you is .,keep up the same spirit for few more decades and so on........",5,POSITIVE,management system nice time visit temple enjoy bhajans kirtans lord radharanis idol ornament decoration attractive beautifulbut luxury thing material costly attractive expect spirit decade,0,3
6,6,4699,Google + HK HILL,Karmendra Gupta,4/12/2017,April,2017,,"""The discipline, cleanliness and the ambiance is very well maintained here.""",5,POSITIVE,discipline cleanliness ambiance maintained,0,0
7,7,178,Google + HK HILL,Darshan js,3/7/2014,March,2014,,"""The temple, is just like an oasis in the desert for the conditioned souls to quench the thirst of their desire for real happiness""....peace of mind, packed with bliss,amazing kirtans, gorgeous arati,powerful Bhagavadgita discourse, most attractive deities of Radha and krishna. Best place to spend time in Bangalore.",5,POSITIVE,temple oasis desert conditioned soul quench thirst desire real happinesspeace mind packed blissamazing kirtans gorgeous aratipowerful bhagavadgita discourse attractive deity radha krishna place spend time bangalore,2,4
8,8,3501,Google + HK HILL,Apkani sandeep kumar,9/4/2016,September,2016,,#super #simple #peace #cool place,5,POSITIVE,super simple peace cool place,2,2
9,9,2255,Trip Advisor,civamani,8/20/2015,August,2015,?PEACEFUL LOVELY TEMPLE?,. MAINTENANCE SUPERB. Feel like you are in the hills. Peaceful atmosphere. Soothing feeling of mind. Beautiful architecutre. Lovely RADHA AND KRISHNA.,5,POSITIVE,maintenance superb feel hill peaceful atmosphere soothing feeling mind beautiful architecutre lovely radha krishna,2,2
10,10,3241,Facebook,Rashi Malik,7/16/2016,July,2016,,...iskcon dwarka ......Yaha mandir k andar bhi stall laga rakhe h..... or prasad k naam p .... 56bhog prasad ki MRP. ko seva ka naam diya jata h ....jo paise dega use hi prasad milega. ..... this is totally wrong. ... ab darshan k sath sath prasad bhi Sale hoga wo bhi mandir k andar......,1,NEGATIVE,iskcon dwarka mandir aandar stall laga prasad naam p 56bhog prasads mrp give servant totally wrong darshan prasad sold inside temple,1,0
11,11,166,Google + HK HILL,Vishal Pawar,11/9/2014,November,2014,,??? what a commercialisation..!!,1,NEGATIVE,commercialisation,0,0
13,13,91,Facebook,Keerthi Kumar V Gowda,3/29/2015,March,2015,,???Iskcon tempal RADHA KRISHNA,5,POSITIVE,iskcon temple radha krishna,3,0
14,14,2748,Google + HK HILL,hari prashad,11/4/2015,November,2015,,0 star.. just flauting of money...nothing spiritual or artistic?,1,NEGATIVE,star flauting moneynothing spiritual artistic,0,2
15,15,105,Google + HK HILL,vaibhav gundale,4/13/2015,April,2015,,1 dam musta aahe,5,POSITIVE,dam musta aahe,0,0
16,16,3035,Trip Advisor,gopsmarty,6/26/2016,June,2016,Best ISKCON temple in the country,"1 Hitech facilities for a nice pilgrimage 2 Quiet, Peace, relaxed atmosphere for a bright spiritual enshrine 3 Location wise best in bangalore 4 very near to orion mall 5 transportation facility is nice",4,POSITIVE,hitech facility nice pilgrimage quiet peace relaxed atmosphere bright spiritual enshrine location wise bangalore orion mall transportation facility nice,0,3
